batch_size,target_output_tokens,count,request_count,avg_generated_tokens,std_generated_tokens,avg_power_w,std_power_w,peak_power_w,avg_energy_j,std_energy_j,avg_dynamic_power_w,std_dynamic_power_w,avg_dynamic_energy_j,std_dynamic_energy_j,avg_context_total_tokens,avg_approx_kv_pressure,avg_normalized_kv_blocks,avg_idle_baseline_w,enable_chunked_prefill,max_num_batched_tokens,max_num_seqs,queue_seed,sampling_seed,scheduler_signature,avg_ttft_ms,mean_ttft_ms,p50_ttft_ms,p95_ttft_ms,p99_ttft_ms,std_ttft_ms,avg_tbt_ms,mean_tbt_ms,p50_tbt_ms,p95_tbt_ms,p99_tbt_ms,std_tbt_ms,avg_e2e_ms,mean_e2e_ms,p50_e2e_ms,p95_e2e_ms,p99_e2e_ms,std_e2e_ms
4,50,5,20,50.0,0.0,197.27760926204704,2.9492254995459755,229.18900000000002,674.726242358446,12.032438301154311,140.20727592871373,2.9492254995459724,479.5342303384303,11.027751116326746,204.0,104.0,4.0,57.07033333333332,True,2048,64,20260329,20260329,cp1_mbt2048_mns64,156.0212503944058,156.0212503944058,159.78609095327556,224.1721210128162,226.77437702310274,53.950788032400915,67.5803573044226,67.5803573044226,67.56897905142978,67.65392128739278,67.65444184197302,0.03917946306168034,3467.4587583111133,3467.4587583111133,3471.3963435497135,3537.112058926141,3538.436298229499,54.12236422536398
4,75,5,20,75.0,0.0,207.70006790369834,3.207129619302297,229.2346,1062.7308104752242,10.42565969164681,150.62973457036503,3.2071296193022887,770.6992148181937,11.874325298407419,304.0,154.0,5.0,57.07033333333332,True,2048,64,20260329,20260329,cp1_mbt2048_mns64,156.53210121090524,156.53210121090524,160.46584455762058,226.3777811487671,228.74948431621303,55.04780877393136,67.51244189587383,67.51244189587383,67.5481972835228,67.59277451044024,67.5934264157282,0.08617391969870031,5152.452801505569,5152.452801505569,5152.680969040375,5225.944455165882,5226.281305479351,55.51459568912382
4,100,5,20,100.0,0.0,212.6899221082161,0.45282208314704986,229.43540000000002,1447.8266531553068,8.05602039254428,155.61958877488277,0.4528220831470278,1059.3378718071262,6.5503667397749705,404.0,204.0,7.0,57.07033333333332,True,2048,64,20260329,20260329,cp1_mbt2048_mns64,167.6893860916607,167.6893860916607,160.288640006911,226.10071698436514,226.40410899417475,53.7854022809134,67.55095014002907,67.55095014002907,67.57346679329532,67.60763620900113,67.61130073703967,0.07551105013646248,6855.2334499545395,6855.2334499545395,6851.100447005592,6915.944342798321,6915.949370957678,56.757859774280256
4,150,5,20,150.0,0.0,218.73729768230766,1.348918979940261,229.65,2224.257544576646,6.242456037907662,161.66696434897432,1.3489189799402426,1643.9186342381486,7.524102269969866,604.0,304.0,10.0,57.07033333333332,True,2048,64,20260329,20260329,cp1_mbt2048_mns64,157.85029894905165,157.85029894905165,162.0948929921724,226.27626215689816,226.61376603995447,53.70353275088248,67.52970183351007,67.52970183351007,67.56932317433979,67.60377301643103,67.60640327442881,0.08948232589728734,10219.775872142054,10219.775872142054,10229.051200440153,10294.807599886553,10296.251050388673,59.42546282911578
4,200,5,20,200.0,0.0,221.10024219051198,0.3518747880694444,229.75500000000002,3001.421234976815,5.930969573706824,164.02990885717864,0.35187478806944844,2226.694926945574,5.293702836409506,804.0,404.0,13.0,57.07033333333332,True,2048,64,20260329,20260329,cp1_mbt2048_mns64,165.57981693767942,165.57981693767942,192.23085447447374,227.47971538337876,229.4544902665075,64.41530594103703,67.53880460325384,67.53880460325384,67.58132154015524,67.59863238300234,67.60270814072626,0.09403305063664145,13605.801932985196,13605.801932985196,13617.7662750124,13676.286071311915,13676.403207845287,67.90517138265612
4,300,5,20,300.0,0.0,224.2373771943904,0.5811753232268057,230.10519999999997,4558.868997744419,14.892054740801129,167.1670438610571,0.5811753232268123,3398.5985839951545,13.861158159902057,1204.0,604.0,19.0,57.07033333333332,True,2048,64,20260329,20260329,cp1_mbt2048_mns64,166.00338110583834,166.00338110583834,161.58304852433503,226.9655904674437,227.06597803044136,60.94086232744873,67.58747035199481,67.58747035199481,67.58791783783292,67.59812731274799,67.60198920835153,0.00743769139590583,20374.657016352285,20374.657016352285,20370.696950005367,20436.980491434224,20438.00666628871,61.02373409650969
6,10,5,30,10.0,0.0,119.79627340960901,22.146663340250367,164.506,87.65863419681959,14.705006665449263,62.38482896516458,22.14666334025038,45.541858820626885,14.755194755330251,66.0,36.0,1.0,57.41144444444444,True,2048,64,20260329,20260329,cp1_mbt2048_mns64,191.17694705103835,191.17694705103835,187.3502479866147,291.6217158490326,291.8465998535976,63.84979082777512,68.03760661234803,68.03760661234803,68.01007199747902,68.90747958807171,69.0323772743189,0.8511167887301657,803.5154065621706,803.5154065621706,801.7397089861333,907.5359938724432,910.549820701126,66.4315802050672
6,20,5,30,20.0,0.0,147.77841041662504,2.3538848992554984,227.65699999999998,207.02638512327673,7.989095960649253,90.3669659721806,2.3538848992555024,126.6179799370951,6.09903374460379,126.0,66.0,2.0,57.41144444444444,True,2048,64,20260329,20260329,cp1_mbt2048_mns64,162.66130711883307,162.66130711883307,166.81574645917863,230.75315011083148,234.4827865622938,50.776934267095164,67.88477571252243,67.88477571252243,67.86998144755336,68.17748381045499,68.24364572524485,0.1688931936235807,1452.4720456567593,1452.4720456567593,1457.7627955004573,1519.7353552328423,1522.5350376800634,50.905746486738806
6,40,5,30,40.0,0.0,186.37544841446086,1.69061214194299,227.4934,516.9635618428914,2.87823498666733,128.96400397001645,1.6906121419429991,357.7072851075592,2.560506456373804,246.0,126.0,3.0,57.41144444444444,True,2048,64,20260329,20260329,cp1_mbt2048_mns64,189.86684393991405,189.86684393991405,224.6184929390438,251.1062023928389,251.23898875783198,56.01503161159545,67.89625401739985,67.89625401739985,67.87817979392668,68.07462882746059,68.10761008745966,0.11300729597704597,2837.8207506185086,2837.8207506185086,2869.4119194406085,2901.710576430196,2904.466067510657,56.976041636251516
6,50,5,30,50.0,0.0,194.59909503229082,0.5752408936185295,227.5036,672.2009227866649,6.696195442810929,137.18765058784638,0.5752408936185324,473.8857543488819,4.974055001901504,306.0,156.0,4.0,57.41144444444444,True,2048,64,20260329,20260329,cp1_mbt2048_mns64,177.37969709948325,177.37969709948325,223.20965601829812,230.50196007243358,231.8453089124523,59.0405064053806,68.02276585791195,68.02276585791195,67.9114621538878,68.77365858158647,69.37245489150399,0.36885045293461644,3510.4952241371698,3510.4952241371698,3551.173586922232,3561.011730565224,3561.5028994879685,55.77030962182267
