experiment_id,target_input_tokens,avg_actual_input_tokens,num_samples,avg_duration_ms,std_duration_ms,avg_ttft_ms,std_ttft_ms,avg_power_w,std_power_w,median_power_w,p95_power_w,peak_power_w,min_power_w,avg_active_power_w,std_active_power_w,active_median_power_w,active_p95_power_w,avg_active_sample_fraction,avg_energy_j,avg_energy_per_request_j,std_energy_j,avg_dynamic_energy_per_request_j,avg_dynamic_power_w,std_dynamic_power_w,avg_dynamic_energy_j,std_dynamic_energy_j,avg_idle_baseline_w,status_ok_count,status_error_count
prefill_token_power_modeling_1777904889,1280,1276.0,3,3190.181334813436,12.729522538692558,227.81502632867722,0.904289390748054,241.52424903479857,6.636061560575016,276.623,279.3516666666667,281.599,62.059,258.0574796531457,1.8299088794587208,277.241,279.3516666666667,0.9018987558107738,770.5574759197632,55.03981970855452,24.04932811381011,40.14656172429405,176.1657035802531,6.63606156057502,562.0518641401168,23.275764367326186,65.35854545454545,3,0
prefill_token_power_modeling_1777904889,1536,1536.0,3,3249.194065729777,9.20536561421972,270.6996268696255,0.7587784058978677,232.7627377830836,2.4195875890339447,267.409,268.4436666666667,268.773,88.353,245.72529833201997,13.136659679123346,267.409,268.4436666666667,0.9158903279557676,756.3052445249577,63.02543704374648,9.909969070597736,45.32855387410989,167.40419232853813,2.4195875890339598,543.9426464893188,9.332608933163536,65.35854545454545,3,0
prefill_token_power_modeling_1777904889,1792,1785.0,3,3243.5444990793862,5.684825154163964,294.7930711688417,0.5172241059917176,253.19692351809326,8.111030918403417,287.4073333333333,290.50166666666667,294.631,86.907,257.7344464185145,15.894337671342251,287.4073333333333,290.50166666666667,0.9711934156378601,821.2755871161747,74.66141701056134,27.25017690588356,55.38929423084126,187.83837806354782,8.111030918403431,609.2822365392539,26.9977359186236,65.35854545454545,3,0
prefill_token_power_modeling_1777904889,2048,2061.0,3,3505.87526957194,2.7178236888940517,350.5178451538086,0.26814437198285995,252.14602197468278,0.704274685288277,273.23266666666666,274.7966666666667,275.388,72.909,257.8600168281098,2.4246054291781696,273.23266666666666,274.7966666666667,0.961948051948052,883.9934994428952,88.39934994428951,3.0356136361531587,65.48545912786108,186.78747652013735,0.7042746852882759,654.8545912786108,2.884010455085435,65.35854545454545,3,0
prefill_token_power_modeling_1777904889,2304,2304.0,3,3771.9828287760415,6.05250330148924,377.12111473083496,0.6092808181734095,257.645016800353,3.3290304811798617,278.20266666666663,280.85566666666665,283.937,86.328,257.71526459793125,3.610571591560642,278.20266666666663,280.85566666666665,0.9946808510638298,971.8353210429748,97.18353210429747,12.977077175061808,72.53040098746509,192.28647134580754,3.3290304811798617,725.3040098746509,12.856733428228116,65.35854545454545,3,0
prefill_token_power_modeling_1777904889,2560,2560.0,3,4026.1550744374595,2.0935465560563062,402.5309006373088,0.21937913518185237,274.9423236980229,2.6380442312609618,290.11066666666665,294.284,295.052,120.361,274.0694582122391,2.4866422998632665,290.11066666666665,294.284,1.0,1106.9637494699953,110.69637494699953,11.144774282840485,84.38201100303257,209.5837782434775,2.6380442312609618,843.8201100303257,11.020311833211807,65.35854545454545,3,0
prefill_token_power_modeling_1777904889,2816,2816.0,3,4417.999903361003,18.592056187632167,441.72611236572266,1.8516985173084821,279.22297434357677,2.1475278885018594,287.97433333333333,290.235,292.753,180.437,278.7574346268111,1.9785273730824087,287.97433333333333,290.235,1.0,1233.5956742399535,123.35956742399534,8.65839068971161,94.4841626737956,213.86442888903136,2.1475278885018594,944.841626737956,8.58197061799081,65.35854545454545,3,0
prefill_token_power_modeling_1777904889,3000,3000.0,3,4825.37039120992,11.243237074376877,482.45166937510174,1.1216368383609165,273.8946440300417,6.058824080431555,281.95166666666665,283.532,284.126,144.303,273.44243512563395,6.151976474241219,281.95166666666665,283.532,1.0,1321.6686141248945,132.16686141248945,31.042454520376598,100.62894240759832,208.5360985754963,6.058824080431555,1006.2894240759831,30.5860709974591,65.35854545454545,3,0
prefill_token_power_modeling_1777904889,4000,4000.0,2,3172.5534200668335,0.39533743903218604,634.3584060668945,0.08395652223370091,277.2485326788758,1.5942520208521784,280.155,285.347,286.12,221.114,276.80367295597483,1.472738878350543,280.155,285.347,1.0,879.5860956926343,175.9172191385269,5.167456426087705,134.4465237560445,211.88998722433038,1.5942520208521784,672.2326187802225,5.141617746108803,65.35854545454545,2,0
prefill_token_power_modeling_1777904889,5000,5000.0,2,3112.563967704773,6.055490606651211,778.0082821846008,1.471177894121267,285.5140881633291,1.4003466985652968,285.6385,288.929,289.096,275.17,285.4715512820513,1.474634930278303,285.6385,288.929,1.0,888.6851029824016,222.1712757456004,6.087596555188278,171.3131123547472,220.15554270878368,1.4003466985652968,685.2524494189888,5.691818497123939,65.35854545454545,2,0
prefill_token_power_modeling_1777904889,6000,6000.0,2,3726.1037826538086,7.272523004251787,931.3701093196869,1.8287939037362029,284.67163275817836,0.6128145224336435,285.12800000000004,287.13,287.15,278.05,284.6821410930941,0.6029814551832842,285.12800000000004,287.13,1.0,1060.7182759883403,265.1795689970851,4.353691507996823,204.2963881353519,219.31308730363295,0.6128145224336435,817.1855525414076,3.8783699826542586,65.35854545454545,2,0
prefill_token_power_modeling_1777904889,8000,8000.0,2,3783.582091331482,3.1355569418164726,1261.028528213501,1.0243370062087684,290.5334203523701,0.9877866470764259,289.169,296.171,296.727,286.652,290.54292664146817,0.9694855632992389,289.169,296.171,1.0,1099.25549754787,366.41849918262335,2.8263877849191905,283.98869181685905,225.17487489782468,0.9877866470764259,851.9660754505771,3.0313232258262524,65.35854545454545,2,0
prefill_token_power_modeling_1777904889,10000,10000.0,2,4973.874449729919,4.172369415184465,1657.7366987864175,1.3609498363158292,289.8032786854795,0.8184592084711597,287.119,299.62649999999996,300.304,282.475,289.8338623481782,0.8159038909526141,287.119,299.62649999999996,1.0,1441.4468307587504,480.4822769195834,5.280079681568338,372.1205438169584,224.44473323093405,0.8184592084711597,1116.361631450875,5.007379685492824,65.35854545454545,2,0
prefill_token_power_modeling_1777904889,12000,12000.0,2,6022.664666175842,4.894260636479059,2007.3366959889731,1.5812373645326614,292.1778871957264,0.11144989866464168,290.30224999999996,301.736,302.097,285.528,292.22001,0.10577374637509003,290.30224999999996,301.736,1.0,1759.6897101840382,586.5632367280127,2.1012200988879157,455.35236928076654,226.81934174118095,0.11144989866464168,1366.0571078422997,1.7813383426121636,65.35854545454545,2,0
prefill_token_power_modeling_1777904889,15000,15000.0,2,7711.494207382202,3.064918823712214,2570.275743802388,1.0284392994639362,297.19781710421313,0.12395087491042828,299.37699999999995,302.8835,303.9,289.199,297.2150943177491,0.12069140878448313,299.37699999999995,302.8835,1.0,2291.83905509609,763.9463516986966,0.04495926986308075,595.9423368068121,231.8392716496677,0.12395087491042828,1787.8270104204362,0.24527790611727096,65.35854545454545,2,0
prefill_token_power_modeling_1777904889,18000,18000.0,2,9720.59690952301,21.034817742211036,3239.980975786845,6.9886780284805265,294.19683224837615,1.4905264669265033,298.9355,304.2633000000001,306.083,277.602,294.212280220157,1.4936268357774674,298.9355,304.2633000000001,1.0,2859.7844948213105,953.2614982737703,20.67718371464826,741.4868066216457,228.83828679383075,1.4905264669265033,2224.4604198649367,19.30237862311586,65.35854545454545,2,0
prefill_token_power_modeling_1777904889,20000,20000.0,2,11014.509677886963,8.628640001938313,3671.1798508961997,2.9135273438610825,293.2612459401497,3.4278905388375285,297.24850000000004,301.8755,306.12,273.771,293.25399457413397,3.4253235761165146,297.24850000000004,301.8755,1.0,3230.1140425402546,1076.7046808467517,35.22608779702548,836.740570366183,227.90270048560427,3.4278905388375285,2510.221711098549,35.790043156802966,65.35854545454545,2,0
