timestamp,relative_time,power_w,memory_gb,temperature_c,graphics_clock_mhz,memory_clock_mhz
1777905540.8236868,649.488123178482,210.669,15.34222412109375,62,2760.0,11251.0
1777905540.843893,649.5083293914795,210.669,15.34222412109375,62,2760.0,11251.0
1777905540.8640745,649.5285108089447,210.572,15.34222412109375,62,2760.0,11251.0
1777905540.8844275,649.5488638877869,210.572,15.34222412109375,62,2760.0,11251.0
1777905540.9046075,649.5690438747406,210.572,15.34222412109375,62,2760.0,11251.0
1777905540.9247985,649.589234828949,210.572,15.34222412109375,62,2760.0,11251.0
1777905540.9449914,649.609427690506,210.572,15.34222412109375,62,2760.0,11251.0
1777905540.9652317,649.6296679973602,210.572,15.34222412109375,62,2760.0,11251.0
1777905540.985427,649.649863243103,210.572,15.34222412109375,62,2760.0,11251.0
1777905541.0056202,649.6700565814972,210.572,15.34222412109375,62,2760.0,11251.0
1777905541.025823,649.6902594566345,210.572,15.34222412109375,62,2760.0,11251.0
1777905541.0460258,649.7104620933533,210.572,15.34222412109375,62,2760.0,11251.0
1777905541.0662963,649.7307326793671,210.572,15.34222412109375,62,2760.0,11251.0
1777905541.0864875,649.750923871994,210.572,15.34222412109375,62,2760.0,11251.0
1777905541.1066887,649.7711250782013,210.572,15.34222412109375,62,2760.0,11251.0
1777905541.1268818,649.7913181781769,210.572,15.34222412109375,62,2760.0,11251.0
1777905541.147077,649.8115134239197,210.572,15.34222412109375,62,2760.0,11251.0
1777905541.1672685,649.8317048549652,210.572,15.34222412109375,62,2760.0,11251.0
1777905541.1874745,649.8519108295441,210.572,15.34222412109375,62,2760.0,11251.0
1777905541.2076714,649.8721077442169,210.572,15.34222412109375,62,2760.0,11251.0
1777905541.2278657,649.8923020362854,210.572,15.34222412109375,62,2760.0,11251.0
1777905541.2480648,649.9125010967255,210.572,15.34222412109375,62,2760.0,11251.0
1777905541.268267,649.932703256607,210.572,15.34222412109375,62,2760.0,11251.0
1777905541.2884345,649.9528708457947,210.572,15.34222412109375,62,2760.0,11251.0
1777905541.3085957,649.9730319976807,210.572,15.34222412109375,62,2760.0,11251.0
1777905541.3313906,649.99582695961,210.572,15.34222412109375,62,2760.0,11251.0
1777905541.3515923,650.0160286426544,210.572,15.34222412109375,62,2760.0,11251.0
1777905541.3717844,650.0362207889557,206.405,15.34222412109375,62,2760.0,11251.0
1777905541.391959,650.0563952922821,206.405,15.34222412109375,62,2760.0,11251.0
1777905541.4121008,650.0765371322632,206.405,15.34222412109375,62,2760.0,11251.0
1777905541.4322684,650.0967047214508,206.405,15.34222412109375,62,2760.0,11251.0
1777905541.452401,650.1168372631073,206.405,15.34222412109375,62,2760.0,11251.0
1777905541.4725718,650.137008190155,206.405,15.34222412109375,62,2760.0,11251.0
1777905541.4927661,650.1572024822235,206.405,15.34222412109375,62,2760.0,11251.0
1777905541.5129573,650.1773936748505,206.405,15.34222412109375,62,2760.0,11251.0
1777905541.5331562,650.197592496872,206.405,15.34222412109375,62,2760.0,11251.0
1777905541.5534782,650.2179145812988,206.405,15.34222412109375,62,2760.0,11251.0
1777905541.573678,650.2381143569946,206.405,15.34222412109375,62,2760.0,11251.0
1777905541.593874,650.2583103179932,206.405,15.34222412109375,62,2760.0,11251.0
1777905541.614068,650.2785043716431,206.405,15.34222412109375,62,2760.0,11251.0
1777905541.634357,650.2987933158875,206.405,15.34222412109375,62,2760.0,11251.0
1777905541.6545727,650.319009065628,206.405,15.34222412109375,62,2760.0,11251.0
1777905541.6747372,650.3391735553741,206.405,15.34222412109375,62,2760.0,11251.0
1777905541.694907,650.359343290329,206.405,15.34222412109375,62,2760.0,11251.0
1777905541.7150748,650.3795111179352,206.405,15.34222412109375,62,2760.0,11251.0
1777905541.7352662,650.3997025489807,206.405,15.34222412109375,62,2760.0,11251.0
1777905541.7554579,650.4198942184448,206.405,15.34222412109375,62,2760.0,11251.0
1777905541.775717,650.4401533603668,206.405,15.34222412109375,62,2760.0,11251.0
1777905541.7959158,650.4603521823883,206.405,15.34222412109375,62,2760.0,11251.0
1777905541.8161077,650.480544090271,206.405,15.34222412109375,62,2760.0,11251.0
1777905541.8363223,650.5007586479187,206.405,15.34222412109375,62,2760.0,11251.0
1777905541.856495,650.5209312438965,206.405,15.34222412109375,62,2760.0,11251.0
1777905541.8766704,650.5411067008972,139.179,15.34222412109375,55,2760.0,11251.0
1777905541.8968627,650.5612990856171,139.179,15.34222412109375,55,2760.0,11251.0
1777905541.9170723,650.5815086364746,139.179,15.34222412109375,55,2760.0,11251.0
1777905541.9375823,650.6020185947418,139.179,15.34222412109375,55,2760.0,11251.0
1777905541.9577942,650.6222305297852,139.179,15.34222412109375,55,2760.0,11251.0
1777905541.9779847,650.6424210071564,139.179,15.34222412109375,55,2760.0,11251.0
1777905541.9982662,650.6627025604248,139.179,15.34222412109375,55,2760.0,11251.0
1777905542.018459,650.6828954219818,139.179,15.34222412109375,55,2760.0,11251.0
1777905542.0387037,650.7031400203705,139.179,15.34222412109375,55,2760.0,11251.0
1777905542.0589173,650.7233536243439,139.179,15.34222412109375,55,2760.0,11251.0
1777905542.0790818,650.74351811409,139.179,15.34222412109375,55,2760.0,11251.0
1777905542.0996103,650.7640466690063,139.179,15.34222412109375,55,2760.0,11251.0
1777905542.1198027,650.7842390537262,139.179,15.34222412109375,55,2760.0,11251.0
1777905542.1399941,650.8044304847717,139.179,15.34222412109375,55,2760.0,11251.0
1777905542.1602547,650.8246910572052,139.179,15.34222412109375,55,2760.0,11251.0
1777905542.1804464,650.8448827266693,139.179,15.34222412109375,55,2760.0,11251.0
1777905542.2006376,650.8650739192963,139.179,15.34222412109375,55,2760.0,11251.0
1777905542.2208285,650.8852648735046,139.179,15.34222412109375,55,2760.0,11251.0
1777905542.241029,650.9054653644562,139.179,15.34222412109375,55,2760.0,11251.0
1777905542.2613022,650.9257385730743,139.179,15.34222412109375,55,2760.0,11251.0
1777905542.281509,650.9459452629089,139.179,15.34222412109375,55,2760.0,11251.0
1777905542.3017178,650.9661540985107,139.179,15.34222412109375,55,2760.0,11251.0
1777905542.3219204,650.9863567352295,139.179,15.34222412109375,55,2760.0,11251.0
1777905542.3421102,651.006546497345,139.179,15.34222412109375,55,2760.0,11251.0
1777905542.3623037,651.0267400741577,85.531,15.34222412109375,54,2760.0,11251.0
1777905542.382473,651.0469093322754,85.531,15.34222412109375,54,2760.0,11251.0
1777905542.4026656,651.0671019554138,85.531,15.34222412109375,54,2760.0,11251.0
1777905542.422868,651.087304353714,85.531,15.34222412109375,54,2760.0,11251.0
1777905542.4430313,651.1074676513672,85.531,15.34222412109375,54,2760.0,11251.0
1777905542.4632692,651.1277055740356,85.531,15.34222412109375,54,2760.0,11251.0
1777905542.4834237,651.1478600502014,85.531,15.34222412109375,54,2760.0,11251.0
1777905542.5035763,651.1680126190186,85.531,15.34222412109375,54,2760.0,11251.0
1777905542.5237355,651.1881718635559,85.531,15.34222412109375,54,2760.0,11251.0
1777905542.5438924,651.2083287239075,85.531,15.34222412109375,54,2760.0,11251.0
1777905542.564049,651.2284853458405,85.531,15.34222412109375,54,2760.0,11251.0
1777905542.5842717,651.2487080097198,85.531,15.34222412109375,54,2760.0,11251.0
1777905542.6044366,651.2688729763031,85.531,15.34222412109375,54,2760.0,11251.0
1777905542.6245923,651.2890286445618,85.531,15.34222412109375,54,2760.0,11251.0
1777905542.6447432,651.3091795444489,85.531,15.34222412109375,54,2760.0,11251.0
1777905542.6649625,651.3293988704681,85.531,15.34222412109375,54,2760.0,11251.0
1777905542.6851375,651.3495738506317,85.531,15.34222412109375,54,2760.0,11251.0
1777905542.7053711,651.3698074817657,85.531,15.34222412109375,54,2760.0,11251.0
1777905542.7255168,651.3899531364441,85.531,15.34222412109375,54,2760.0,11251.0
1777905542.7457108,651.410147190094,85.531,15.34222412109375,54,2760.0,11251.0
1777905542.765903,651.4303393363953,85.531,15.34222412109375,54,2760.0,11251.0
1777905542.7860942,651.4505305290222,85.531,15.34222412109375,54,2760.0,11251.0
1777905542.8062937,651.4707300662994,85.531,15.34222412109375,54,2760.0,11251.0
1777905542.8264854,651.4909217357635,85.531,15.34222412109375,54,2760.0,11251.0
1777905542.8466809,651.5111172199249,85.531,15.34222412109375,54,2760.0,11251.0
1777905542.8669271,651.5313634872437,85.531,15.34222412109375,54,2760.0,11251.0
1777905542.8871207,651.5515570640564,85.531,15.34222412109375,54,2760.0,11251.0
1777905542.9073155,651.571751832962,85.531,15.34222412109375,54,2760.0,11251.0
1777905542.9275262,651.5919625759125,85.531,15.34222412109375,54,2760.0,11251.0
1777905542.9477184,651.6121547222137,85.531,15.34222412109375,54,2760.0,11251.0
1777905542.9679098,651.6323461532593,85.531,15.34222412109375,54,2760.0,11251.0
1777905542.988101,651.6525373458862,85.531,15.34222412109375,54,2760.0,11251.0
1777905543.008308,651.6727442741394,85.531,15.34222412109375,54,2760.0,11251.0
1777905543.0285065,651.6929428577423,85.531,15.34222412109375,54,2760.0,11251.0
1777905543.0486693,651.7131056785583,85.531,15.34222412109375,54,2760.0,11251.0
1777905543.0688732,651.73330950737,85.531,15.34222412109375,54,2760.0,11251.0
1777905543.0890775,651.7535138130188,85.531,15.34222412109375,54,2760.0,11251.0
1777905543.1092672,651.7737035751343,85.531,15.34222412109375,54,2760.0,11251.0
1777905543.129461,651.7938973903656,85.531,15.34222412109375,54,2760.0,11251.0
1777905543.1496253,651.8140616416931,85.531,15.34222412109375,54,2760.0,11251.0
1777905543.169817,651.8342533111572,85.531,15.34222412109375,54,2760.0,11251.0
1777905543.1899817,651.8544180393219,85.531,15.34222412109375,54,2760.0,11251.0
1777905543.2102554,651.8746917247772,85.531,15.34222412109375,54,2760.0,11251.0
1777905543.2304175,651.8948538303375,85.531,15.34222412109375,54,2760.0,11251.0
1777905543.250594,651.9150302410126,85.531,15.34222412109375,54,2760.0,11251.0
1777905543.2707646,651.9352009296417,85.531,15.34222412109375,54,2760.0,11251.0
1777905543.2909248,651.9553611278534,85.531,15.34222412109375,54,2760.0,11251.0
1777905543.3110974,651.9755337238312,85.531,15.34222412109375,54,2760.0,11251.0
1777905543.3312564,651.99569272995,85.531,15.34222412109375,54,2760.0,11251.0
1777905543.3514175,652.0158538818359,85.531,15.34222412109375,54,2760.0,11251.0
1777905543.3716066,652.0360429286957,59.766,15.34222412109375,53,2550.0,11251.0
1777905543.391799,652.0562353134155,59.766,15.34222412109375,53,2550.0,11251.0
1777905543.41197,652.0764062404633,59.766,15.34222412109375,53,2550.0,11251.0
1777905543.4321272,652.096563577652,59.766,15.34222412109375,53,2550.0,11251.0
1777905543.452306,652.1167423725128,59.766,15.34222412109375,53,2550.0,11251.0
1777905543.472446,652.1368823051453,59.766,15.34222412109375,53,2550.0,11251.0
1777905543.4926145,652.1570508480072,59.766,15.34222412109375,53,2550.0,11251.0
1777905543.5128057,652.1772420406342,59.766,15.34222412109375,53,2550.0,11251.0
1777905543.5329993,652.1974356174469,59.766,15.34222412109375,53,2550.0,11251.0
1777905543.5532792,652.2177155017853,59.766,15.34222412109375,53,2550.0,11251.0
1777905543.5734732,652.2379095554352,59.766,15.34222412109375,53,2550.0,11251.0
1777905543.5936673,652.2581036090851,59.766,15.34222412109375,53,2550.0,11251.0
1777905543.6138625,652.2782988548279,59.766,15.34222412109375,53,2550.0,11251.0
1777905543.6340535,652.2984898090363,59.766,15.34222412109375,53,2550.0,11251.0
1777905543.6543212,652.3187575340271,59.766,15.34222412109375,53,2550.0,11251.0
