experiment_id,target_input_tokens,actual_input_tokens,repeat_id,prompt_source,start_time,end_time,duration_ms,ttft_ms,measurement_mode,block_request_count,block_success_count,block_error_count,block_warmup_requests,block_min_requests_used,block_max_requests_used,avg_power_w,median_power_w,p95_power_w,peak_power_w,min_power_w,active_avg_power_w,active_median_power_w,active_p95_power_w,active_sample_count,active_sample_fraction,active_power_threshold_w,energy_j,energy_per_request_j,idle_baseline_w,dynamic_power_w,dynamic_energy_j,dynamic_energy_per_request_j,power_sample_count,status,error,first_ttft_ms,min_ttft_ms,max_ttft_ms,prompt_generation_ms,add_unique_prefix
prefill_token_power_modeling_1777904889,40,40,5,generated,1777905231.5273707,1777905234.555621,3028.249979019165,70.39074010627215,block,43,43,0,2,30,100,169.31554725443272,213.448,213.926,213.926,57.791,202.6411441441441,213.736,213.926,111,0.7302631578947368,95.35854545454544,512.7298024208543,11.92394889350824,65.35854545454545,103.95700179988728,314.80778851940386,7.321111360916369,150,ok,,70.84536552429199,70.07122039794922,71.03562355041504,45.255184173583984,False
prefill_token_power_modeling_1777904889,416,416,1,generated,1777905237.168043,1777905240.7082138,3540.170907974243,117.95862515767416,block,30,30,0,2,30,100,218.6670341382761,263.163,263.825,263.825,57.042,250.73902112676055,263.33,263.825,142,0.8022598870056498,95.35854545454544,774.1186727893357,25.803955759644523,65.35854545454545,153.30848868373067,542.7382515836417,18.091275052788056,175,ok,,117.35844612121582,116.8053150177002,119.29702758789062,148.36454391479492,False
prefill_token_power_modeling_1777904889,512,512,5,generated,1777905243.3541532,1777905247.0299177,3675.764560699463,122.47068087259927,block,30,30,0,2,30,100,227.8876783636777,266.471,268.1579,268.19,70.38538961682838,250.7789559748428,266.495,268.19,159,0.8641304347826086,95.35854545454544,837.6614519492842,27.922048398309474,65.35854545454545,162.52913290913227,597.4188268286011,19.913960894286703,182,ok,,123.02470207214355,121.42395973205566,123.21066856384276,175.65083503723145,False
prefill_token_power_modeling_1777904889,128,128,4,generated,1777905249.4982538,1777905252.5500977,3051.843643188477,74.39280137783143,block,41,41,0,2,30,100,179.49774980250558,231.387,231.953,231.953,55.854,195.2545333333333,231.387,231.953,135,0.8823529411764706,95.35854545454544,547.7990667014122,13.360952846375907,65.35854545454545,114.13920434796012,348.3350052279126,8.49597573726616,151,ok,,75.94704627990723,73.52948188781738,75.94704627990723,98.52838516235352,False
prefill_token_power_modeling_1777904889,3000,3000,3,generated,1777905259.1399567,1777905263.9781332,4838.176488876343,483.7279558181762,block,10,10,0,2,10,30,276.8197513974302,282.926,283.943,284.103,157.413,276.4471825726141,282.926,283.943,241,1.0,95.35854545454544,1339.302812867641,133.9302812867641,65.35854545454545,211.4612059428848,1023.0866349023034,102.30866349023034,239,ok,,487.5349998474121,482.8071594238281,487.5349998474121,3415.9250259399414,False
prefill_token_power_modeling_1777904889,896,896,3,generated,1777905266.6588588,1777905269.7758975,3117.03896522522,173.12453852759467,block,18,18,0,2,10,30,233.9563827541384,275.085,276.097,276.097,58.571,245.66933793103448,275.085,276.097,145,0.9294871794871796,95.35854545454544,729.251161207795,40.51395340043305,65.35854545454545,168.59783729959292,525.5260283155332,29.195890461974063,154,ok,,172.61052131652832,172.61052131652832,174.50428009033203,105.53836822509766,False
prefill_token_power_modeling_1777904889,2816,2816,1,generated,1777905276.0144918,1777905280.447604,4433.112144470215,443.2283639907837,block,10,10,0,2,10,30,280.0670016460575,287.589,289.592,289.592,188.387,279.50283333333334,287.589,289.592,222,1.0,95.35854545454544,1241.5684262624973,124.15684262624973,65.35854545454545,214.70845619151208,951.8266646630432,95.18266646630433,220,ok,,441.1857128143311,440.45543670654297,446.58803939819336,3139.3330097198486,False
prefill_token_power_modeling_1777904889,40,40,3,generated,1777905282.8625507,1777905285.9066195,3044.0688133239746,70.76079346412835,block,43,43,0,2,30,100,171.8709545995967,215.475,216.0,216.0,65.611,191.9345234375,215.475,216.0,128,0.8366013071895425,95.35854545454544,523.187012812853,12.167139832857048,65.35854545454545,106.51240914505124,324.23110291045384,7.540258207219857,151,ok,,73.88639450073242,70.28698921203613,73.88639450073242,52.39605903625488,False
prefill_token_power_modeling_1777904889,32,32,1,generated,1777905288.3131309,1777905291.3451183,3031.98766708374,70.48191580661508,block,43,43,0,2,30,100,177.77573258412824,211.038,214.623,214.623,59.247,200.957424,214.213,214.623,125,0.8223684210526315,95.35854545454544,539.0138287018539,12.535205318647764,65.35854545454545,112.4171871295828,340.84752494514,7.926686626631162,150,ok,,70.32418251037598,69.86069679260254,71.54345512390137,44.571638107299805,False
prefill_token_power_modeling_1777904889,16,16,3,generated,1777905293.736971,1777905296.7437415,3006.770610809326,71.56092212313698,block,42,42,0,2,30,100,171.692433584457,206.717,207.301,207.301,57.284,196.86956666666663,206.755,207.301,120,0.7947019867549668,95.35854545454544,516.2397634000774,12.291422938097082,65.35854545454545,106.33388812991156,319.7216097621047,7.612419280050112,149,ok,,71.4406967163086,71.16031646728516,72.31616973876953,28.659582138061523,False
prefill_token_power_modeling_1777904889,224,224,3,generated,1777905299.27533,1777905302.3005576,3025.2275466918945,86.4016056060791,block,35,35,0,2,30,100,202.40024236448045,244.343,250.725,250.725,56.821,232.4467398373984,249.747,250.725,123,0.8092105263157895,95.35854545454544,612.3067886581421,17.494479675946916,65.35854545454545,137.041696909935,414.5823165373369,11.84520904392391,150,ok,,89.42818641662598,85.62707901000977,89.42818641662598,134.22274589538574,False
